id_higienizacao;id_unidade;id_tempo;data_hora_saida_paciente;data_hora_liberacao_leito
70077;1;20251202;2026-04-28 14:00:00;2026-04-28 15:30:00
70078;3;20251204;2026-04-28 14:00:00;2026-04-28 15:30:00
70079;1;20251206;2026-04-28 14:00:00;2026-04-28 15:30:00
70080;2;20251208;2026-04-28 14:00:00;2026-04-28 15:30:00
70081;2;20251210;2026-04-28 14:00:00;2026-04-28 15:30:00
70082;1;20251212;2026-04-28 14:00:00;2026-04-28 15:30:00
70083;2;20251214;2026-04-28 14:00:00;2026-04-28 15:30:00
70084;2;20251216;2026-04-28 14:00:00;2026-04-28 15:30:00
70085;1;20251218;2026-04-28 14:00:00;2026-04-28 15:30:00
70086;2;20251220;2026-04-28 14:00:00;2026-04-28 15:30:00
70087;3;20251222;2026-04-28 14:00:00;2026-04-28 15:30:00
70088;1;20251224;2026-04-28 14:00:00;2026-04-28 15:30:00
70089;2;20251226;2026-04-28 14:00:00;2026-04-28 15:30:00
70090;2;20251228;2026-04-28 14:00:00;2026-04-28 15:30:00
70091;2;20251230;2026-04-28 14:00:00;2026-04-28 15:30:00
70092;3;20260101;2026-04-28 14:00:00;2026-04-28 15:30:00
70093;2;20260103;2026-04-28 14:00:00;2026-04-28 15:30:00
70094;1;20260105;2026-04-28 14:00:00;2026-04-28 15:30:00
70095;1;20260107;2026-04-28 14:00:00;2026-04-28 15:30:00
70096;3;20260109;2026-04-28 14:00:00;2026-04-28 15:30:00
70097;3;20260111;2026-04-28 14:00:00;2026-04-28 15:30:00
70098;3;20260113;2026-04-28 14:00:00;2026-04-28 15:30:00
70099;3;20260115;2026-04-28 14:00:00;2026-04-28 15:30:00
70100;3;20260117;2026-04-28 14:00:00;2026-04-28 15:30:00
70101;3;20260119;2026-04-28 14:00:00;2026-04-28 15:30:00
70102;2;20260121;2026-04-28 14:00:00;2026-04-28 15:30:00
70103;1;20260123;2026-04-28 14:00:00;2026-04-28 15:30:00
70104;3;20260125;2026-04-28 14:00:00;2026-04-28 15:30:00
70105;1;20260127;2026-04-28 14:00:00;2026-04-28 15:30:00
70106;3;20260129;2026-04-28 14:00:00;2026-04-28 15:30:00
70107;3;20260131;2026-04-28 14:00:00;2026-04-28 15:30:00
70108;1;20260202;2026-04-28 14:00:00;2026-04-28 15:30:00
70109;2;20260204;2026-04-28 14:00:00;2026-04-28 15:30:00
70110;1;20260206;2026-04-28 14:00:00;2026-04-28 15:30:00
70111;1;20260208;2026-04-28 14:00:00;2026-04-28 15:30:00
70112;3;20260210;2026-04-28 14:00:00;2026-04-28 15:30:00
70113;1;20260212;2026-04-28 14:00:00;2026-04-28 15:30:00
70114;1;20260214;2026-04-28 14:00:00;2026-04-28 15:30:00
70115;1;20260216;2026-04-28 14:00:00;2026-04-28 15:30:00
70116;2;20260218;2026-04-28 14:00:00;2026-04-28 15:30:00
70117;2;20260220;2026-04-28 14:00:00;2026-04-28 15:30:00
70118;1;20260222;2026-04-28 14:00:00;2026-04-28 15:30:00
70119;2;20260224;2026-04-28 14:00:00;2026-04-28 15:30:00
70120;1;20260226;2026-04-28 14:00:00;2026-04-28 15:30:00
70121;3;20260228;2026-04-28 14:00:00;2026-04-28 15:30:00
70122;1;20260302;2026-04-28 14:00:00;2026-04-28 15:30:00
70123;2;20260304;2026-04-28 14:00:00;2026-04-28 15:30:00
70124;3;20260306;2026-04-28 14:00:00;2026-04-28 15:30:00
70125;2;20260308;2026-04-28 14:00:00;2026-04-28 15:30:00
70126;2;20260310;2026-04-28 14:00:00;2026-04-28 15:30:00
70127;1;20260312;2026-04-28 14:00:00;2026-04-28 15:30:00
70128;3;20260314;2026-04-28 14:00:00;2026-04-28 15:30:00
70129;1;20260316;2026-04-28 14:00:00;2026-04-28 15:30:00
70130;2;20260318;2026-04-28 14:00:00;2026-04-28 15:30:00
70131;3;20260320;2026-04-28 14:00:00;2026-04-28 15:30:00
70132;2;20260322;2026-04-28 14:00:00;2026-04-28 15:30:00
70133;1;20260324;2026-04-28 14:00:00;2026-04-28 15:30:00
70134;3;20260326;2026-04-28 14:00:00;2026-04-28 15:30:00
70135;1;20260328;2026-04-28 14:00:00;2026-04-28 15:30:00
70136;2;20260330;2026-04-28 14:00:00;2026-04-28 15:30:00
70137;1;20260401;2026-04-28 14:00:00;2026-04-28 15:30:00
70138;1;20260403;2026-04-28 14:00:00;2026-04-28 15:30:00
70139;1;20260405;2026-04-28 14:00:00;2026-04-28 15:30:00
70140;1;20260407;2026-04-28 14:00:00;2026-04-28 15:30:00
70141;2;20260409;2026-04-28 14:00:00;2026-04-28 15:30:00
70142;1;20260411;2026-04-28 14:00:00;2026-04-28 15:30:00
70143;2;20260413;2026-04-28 14:00:00;2026-04-28 15:30:00
70144;3;20260415;2026-04-28 14:00:00;2026-04-28 15:30:00
70145;1;20260417;2026-04-28 14:00:00;2026-04-28 15:30:00
70146;2;20260419;2026-04-28 14:00:00;2026-04-28 15:30:00
70147;2;20260421;2026-04-28 14:00:00;2026-04-28 15:30:00
70148;2;20260423;2026-04-28 14:00:00;2026-04-28 15:30:00
70149;2;20260425;2026-04-28 14:00:00;2026-04-28 15:30:00
70150;1;20260427;2026-04-28 14:00:00;2026-04-28 15:30:00
70151;1;20260429;2026-04-28 14:00:00;2026-04-28 15:30:00
